Community,Zip,Category,Category Locked,Prospect Name,Rating,Contact Name,Role,Phone,Email,Website,Address,Local Hook,Offer Angle,Outreach Status,Email 1 Date,Email 2 Date,Email 3 Date,Phone Follow-up Date,Deposit Status,Notes
Danville,94526,HVAC,No,TBD HVAC Company,IDEAL,,,,,,Danville CA,"Seasonal comfort for high-income Danville homeowners","Own the HVAC category on the first Danville shared postcard",Not started,,,,,,"Replace placeholder with researched local company"
Danville,94526,Pest Control,No,TBD Pest Control Company,IDEAL,,,,,,Danville CA,"Family homes and hillside properties need recurring pest prevention","Exclusive pest-control placement before spring/summer demand",Not started,,,,,,"Replace placeholder with researched local company"
Danville,94526,Family Dentist,No,TBD Family Dental Practice,IDEAL,,,,,,Danville CA,"Affluent family households respond to trusted neighborhood providers","Exclusive dental category with new-patient offer",Not started,,,,,,"Replace placeholder with researched local practice"
Danville,94526,Pool Service,No,TBD Pool Service Company,STRONG,,,,,,Danville CA,"Backyard pools and outdoor living are common in premium neighborhoods","Book recurring pool maintenance before peak season",Not started,,,,,,"Replace placeholder with researched local company"
Danville,94526,Landscaping,No,TBD Landscaping Company,IDEAL,,,,,,Danville CA,"Curb appeal matters in HOA and estate-style neighborhoods","Exclusive landscaping slot for spring cleanups and maintenance",Not started,,,,,,"Replace placeholder with researched local company"
Danville,94526,Plumbing,No,TBD Plumbing Company,GOOD,,,,,,Danville CA,"Homeowners prefer fast local help for urgent repairs","Direct response offer with trackable phone number",Not started,,,,,,"Replace placeholder with researched local company"
Danville,94526,Roofing,No,TBD Roofing Company,GOOD,,,,,,Danville CA,"Older high-value homes justify inspection and repair offers","Promote roof inspection or storm-readiness audit",Not started,,,,,,"Replace placeholder with researched local company"
Danville,94526,Med Spa,No,TBD Med Spa,STRONG,,,,,,Danville CA,"Premium wellness and aesthetics fit Danville household income","High-margin new-client introductory offer",Not started,,,,,,"Replace placeholder with researched local provider"
Danville,94526,Tutoring,No,TBD Tutoring Center,GOOD,,,,,,Danville CA,"Achievement-oriented families and school-year planning","Test-prep or math support offer by neighborhood",Not started,,,,,,"Replace placeholder with researched local company"
Danville,94526,House Cleaning,No,TBD Cleaning Service,GOOD,,,,,,Danville CA,"Busy professional households value recurring home services","Recurring cleaning intro offer with limited neighborhood reach",Not started,,,,,,"Replace placeholder with researched local company"
